code,description,level
0,"OCUPACIONES MILITARES",1
01,"OFICIALES DE LAS FUERZAS ARMADAS",2
011,"OFICIALES DE LAS FUERZAS ARMADAS",3
0110,"OFICIALES DE LAS FUERZAS ARMADAS",4
0110.01,"Oficiales de las fuerzas armadas terrestre",6
0110.01.01,"General del Ejército (Fuerza Terrestre)",8
0110.01.02,"General de División (Fuerza Terrestre)",8
0110.01.03,"General de Brigada (Fuerza Terrestre)",8
0110.01.04,"Coronel (Fuerza Terrestre)",8
0110.01.05,"Teniente Coronel (Fuerza Terrestre)",8
0110.01.06,"Mayor (Fuerza Terrestre)",8
0110.01.07,"Capitán (Fuerza Terrestre)",8
0110.01.08,"Teniente (Fuerza Terrestre)",8
0110.01.09,"Subteniente (Fuerza Terrestre)",8
0110.01.10,"Cadete (Fuerza Terrestre)",8
0110.02,"Oficiales de las fuerzas armadas naval",6
0110.02.01,"Almirante (Fuerza Naval)",8
0110.02.02,"Vicealmirante (Fuerza Naval)",8
0110.02.03,"Contralmirante (Fuerza Naval)",8
0110.02.04,"Capitán de Navío (Fuerza Naval)",8
0110.02.05,"Capitán de Fragata (Fuerza Naval)",8
0110.02.06,"Capitán de Corbeta (Fuerza Naval)",8
0110.02.07,"Teniente de Navío (Fuerza Naval)",8
0110.02.08,"Teniente de Fragata (Fuerza Naval)",8
0110.02.09,"Alférez de Fragata (Fuerza Naval)",8
0110.02.10,"Guardiamarina (Fuerza Naval)",8
0110.03,"Oficial de las fuerzas armadas aérea",6
0110.03.01,"General de la Fuerza Aérea",8
0110.03.02,"Brigadier General (Fuerza Aérea)",8
0110.03.03,"Coronel (Fuerza Aérea)",8
0110.03.04,"Teniente Coronel (Fuerza Aérea)",8
0110.03.05,"Mayor (Fuerza Aérea)",8
0110.03.06,"Capitán (Fuerza Aérea)",8
0110.03.07,"Teniente (Fuerza Aérea)",8
0110.03.08,"Subteniente (Fuerza Aérea)",8
0110.03.09,"Cadete (Fuerza Aérea)",8
